"iso3","fuel","value","category"
"CHN","solar_pv",78.2608695652174,"manufacturing"
"KOR","solar_pv",7.60869565217391,"manufacturing"
"MYS","solar_pv",6.52173913043478,"manufacturing"
"DEU","solar_pv",2.17391304347826,"manufacturing"
"JPN","solar_pv",2.17391304347826,"manufacturing"
"TWN","solar_pv",1.08695652173913,"manufacturing"
"SGP","solar_pv",1.08695652173913,"manufacturing"
"USA","solar_pv",1.08695652173913,"manufacturing"
"AUS","nuclear",14.4416703382778,"extraction"
"CAN","nuclear",23.9266656875704,"extraction"
"CHN","nuclear",3.30444999265678,"extraction"
"KAZ","nuclear",43.5771283105693,"extraction"
"RUS","nuclear",8.72130023987859,"extraction"
"UKR","nuclear",2.0487589954472,"extraction"
"USA","nuclear",3.98002643559994,"extraction"
